rental_id,user_id,age,gender,start_time,end_time,start_station,end_station,duration_minutes,price
35,135,26,M,2024-01-15 10:15:00,2024-01-15 11:00:00,Station C,Station E,45,4.50
36,136,33,F,2024-01-15 16:15:00,2024-01-15 17:00:00,Station B,Station A,45,4.50
37,137,28,M,2024-01-15 13:45:00,2024-01-15 14:15:00,Station D,Station B,30,3.00
38,138,45,F,2024-01-15 19:15:00,2024-01-15 20:00:00,Station E,Station D,45,4.50
39,139,31,M,2024-01-15 07:45:00,2024-01-15 08:20:00,Station A,Station B,35,3.50
40,140,36,F,2024-01-15 17:30:00,2024-01-15 18:15:00,Station C,Station A,45,4.50
41,141,25,M,2024-01-15 09:30:00,2024-01-15 10:15:00,Station B,Station C,45,4.50
42,142,34,F,2024-01-15 11:45:00,2024-01-15 12:30:00,Station E,Station A,45,4.50
43,143,27,M,2024-01-15 15:30:00,2024-01-15 16:15:00,Station D,Station C,45,4.50
44,144,42,F,2024-01-15 08:30:00,2024-01-15 09:00:00,Station A,Station D,30,3.00
45,145,30,M,2024-01-15 18:30:00,2024-01-15 19:15:00,Station C,Station B,45,4.50
46,146,23,F,2024-01-15 12:15:00,2024-01-15 12:45:00,Station B,Station E,30,3.00
47,147,39,M,2024-01-15 14:00:00,2024-01-15 14:45:00,Station E,Station C,45,4.50
48,148,32,F,2024-01-15 16:45:00,2024-01-15 17:30:00,Station D,Station A,45,4.50
49,149,26,M,2024-01-15 10:45:00,2024-01-15 11:30:00,Station A,Station E,45,4.50
50,150,37,F,2024-01-15 19:30:00,2024-01-15 20:15:00,Station C,Station D,45,4.50
51,151,28,M,2024-01-15 07:30:00,2024-01-15 08:15:00,Station B,Station A,45,4.50
52,152,35,F,2024-01-15 17:15:00,2024-01-15 18:00:00,Station E,Station B,45,4.50
53,153,24,M,2024-01-15 13:30:00,2024-01-15 14:15:00,Station D,Station C,45,4.50
54,154,41,F,2024-01-15 09:15:00,2024-01-15 09:50:00,Station A,Station B,35,3.50
55,155,29,M,2024-01-15 18:45:00,2024-01-15 19:30:00,Station C,Station A,45,4.50
56,156,33,F,2024-01-15 11:00:00,2024-01-15 11:45:00,Station B,Station D,45,4.50
57,157,27,M,2024-01-15 15:15:00,2024-01-15 16:00:00,Station E,Station C,45,4.50
58,158,38,F,2024-01-15 08:15:00,2024-01-15 08:45:00,Station D,Station A,30,3.00
59,159,25,M,2024-01-15 16:30:00,2024-01-15 17:15:00,Station A,Station C,45,4.50
60,160,36,F,2024-01-15 12:45:00,2024-01-15 13:30:00,Station C,Station E,45,4.50
61,161,30,M,2024-01-15 19:00:00,2024-01-15 19:45:00,Station B,Station A,45,4.50
62,162,34,F,2024-01-15 14:30:00,2024-01-15 15:00:00,Station E,Station D,30,3.00
63,163,26,M,2024-01-15 10:30:00,2024-01-15 11:15:00,Station D,Station B,45,4.50
64,164,43,F,2024-01-15 17:45:00,2024-01-15 18:30:00,Station A,Station D,45,4.50
65,165,31,M,2024-01-15 07:45:00,2024-01-15 08:30:00,Station C,Station B,45,4.50
66,166,28,F,2024-01-15 13:15:00,2024-01-15 14:00:00,Station B,Station E,45,4.50
67,167,37,M,2024-01-15 15:45:00,2024-01-15 16:30:00,Station E,Station A,45,4.50
68,168,32,F,2024-01-15 09:00:00,2024-01-15 09:35:00,Station D,Station C,35,3.50
69,169,24,M,2024-01-15 18:15:00,2024-01-15 19:00:00,Station A,Station B,45,4.50
70,170,39,F,2024-01-15 11:30:00,2024-01-15 12:15:00,Station C,Station D,45,4.50
71,171,27,M,2024-01-15 16:00:00,2024-01-15 16:45:00,Station B,Station A,45,4.50
72,172,35,F,2024-01-15 08:45:00,2024-01-15 09:15:00,Station E,Station C,30,3.00
73,173,29,M,2024-01-15 14:15:00,2024-01-15 15:00:00,Station D,Station B,45,4.50
74,174,42,F,2024-01-15 19:30:00,2024-01-15 20:15:00,Station A,Station E,45,4.50
75,175,26,M,2024-01-15 10:00:00,2024-01-15 10:45:00,Station C,Station A,45,4.50
76,176,33,F,2024-01-15 17:30:00,2024-01-15 18:15:00,Station B,Station D,45,4.50
77,177,28,M,2024-01-15 12:30:00,2024-01-15 13:15:00,Station E,Station B,45,4.50
78,178,40,F,2024-01-15 15:00:00,2024-01-15 15:45:00,Station D,Station C,45,4.50
79,179,25,M,2024-01-15 07:15:00,2024-01-15 07:45:00,Station A,Station B,30,3.00
80,180,36,F,2024-01-15 18:45:00,2024-01-15 19:30:00,Station C,Station E,45,4.50
81,101,25,M,2024-01-16 08:15:00,2024-01-16 09:00:00,Station A,Station C,45,4.50
82,102,32,F,2024-01-16 17:45:00,2024-01-16 18:30:00,Station B,Station A,45,4.50
83,103,28,M,2024-01-16 09:30:00,2024-01-16 10:15:00,Station C,Station D,45,4.50
84,104,45,F,2024-01-16 12:45:00,2024-01-16 13:15:00,Station D,Station E,30,3.00
85,105,22,M,2024-01-16 18:00:00,2024-01-16 18:45:00,Station E,Station B,45,4.50
86,106,35,F,2024-01-16 07:45:00,2024-01-16 08:30:00,Station A,Station D,45,4.50
87,107,29,M,2024-01-16 16:30:00,2024-01-16 17:15:00,Station B,Station C,45,4.50
88,108,41,F,2024-01-16 10:45:00,2024-01-16 11:30:00,Station C,Station A,45,4.50
89,109,26,M,2024-01-16 14:15:00,2024-01-16 15:00:00,Station D,Station B,45,4.50
90,110,33,F,2024-01-16 19:15:00,2024-01-16 20:00:00,Station E,Station C,45,4.50
91,111,24,M,2024-01-16 08:30:00,2024-01-16 09:00:00,Station A,Station B,30,3.00
92,112,38,F,2024-01-16 17:00:00,2024-01-16 17:45:00,Station B,Station D,45,4.50
93,113,27,M,2024-01-16 11:15:00,2024-01-16 12:00:00,Station C,Station E,45,4.50
94,114,31,F,2024-01-16 15:30:00,2024-01-16 16:15:00,Station D,Station A,45,4.50
95,115,23,M,2024-01-16 07:30:00,2024-01-16 08:15:00,Station E,Station B,45,4.50
96,116,42,F,2024-01-16 13:45:00,2024-01-16 14:30:00,Station A,Station C,45,4.50
97,117,29,M,2024-01-16 18:30:00,2024-01-16 19:15:00,Station B,Station E,45,4.50
98,118,36,F,2024-01-16 09:45:00,2024-01-16 10:15:00,Station C,Station D,30,3.00
99,119,25,M,2024-01-16 16:00:00,2024-01-16 16:45:00,Station D,Station B,45,4.50
100,120,39,F,2024-01-16 12:00:00,2024-01-16 12:45:00,Station E,Station A,45,4.50
